Fecha,Rango edad,Número de hombres,Número mujeres
['01/06/2017 07:00:01'],20-24,2156,1948
['01/06/2017 07:00:01'],25-29,2334,2497
['01/06/2017 07:00:01'],30-34,2949,3174
['01/06/2017 07:00:01'],35-39,3931,4246
['01/06/2017 07:00:01'],40-44,4424,4570
['01/06/2017 07:00:01'],45-49,3793,3820
['01/06/2017 07:00:01'],50-54,3087,3314
['01/06/2017 07:00:01'],55-59,2527,2852
['01/06/2017 07:00:01'],60-64,2099,2471
['01/06/2017 07:00:01'],65-69,2113,2354
['01/06/2017 07:00:01'],70-74,1585,1682
['01/06/2017 07:00:01'],75-79,889,978
['01/06/2017 07:00:01'],80-84,617,798
['01/06/2017 07:00:01'],85-89,352,577
['01/06/2017 07:00:01'],90-94,115,308
['01/06/2017 07:00:01'],95-99,24,94
['01/06/2017 07:00:01'],100-104,2,11
['15/05/2017 07:00:01'],0-4,2300,2214
['15/05/2017 07:00:01'],5-9,2877,2682
['15/05/2017 07:00:01'],10-14,2618,2371
['15/05/2017 07:00:01'],15-19,2418,2208
['15/05/2017 07:00:01'],20-24,2152,1946
['15/05/2017 07:00:01'],25-29,2334,2486
['15/05/2017 07:00:01'],30-34,2953,3177
['15/05/2017 07:00:01'],35-39,3935,4253
['15/05/2017 07:00:01'],40-44,4425,4561
['15/05/2017 07:00:01'],45-49,3797,3826
['15/05/2017 07:00:01'],50-54,3093,3318
['15/05/2017 07:00:01'],55-59,2525,2843
['15/05/2017 07:00:01'],60-64,2100,2470
['15/05/2017 07:00:01'],65-69,2113,2351
['15/05/2017 07:00:01'],70-74,1583,1680
['15/05/2017 07:00:01'],75-79,890,977
['15/05/2017 07:00:01'],80-84,618,798
['15/05/2017 07:00:01'],85-89,351,579
['15/05/2017 07:00:01'],90-94,116,306
['15/05/2017 07:00:01'],95-99,25,94
['15/05/2017 07:00:01'],100-104,2,11
['01/05/2017 07:00:01'],0-4,2281,2205
['01/05/2017 07:00:01'],5-9,2871,2678
['01/05/2017 07:00:01'],10-14,2615,2366
['01/05/2017 07:00:01'],15-19,2414,2206
['01/05/2017 07:00:01'],20-24,2143,1943
['01/05/2017 07:00:01'],25-29,2315,2468
['01/05/2017 07:00:01'],30-34,2944,3165
['01/05/2017 07:00:01'],35-39,3916,4234
['01/05/2017 07:00:01'],40-44,4412,4542
['01/05/2017 07:00:01'],45-49,3790,3819
['01/05/2017 07:00:01'],50-54,3092,3313
['01/05/2017 07:00:01'],55-59,2524,2843
['01/05/2017 07:00:01'],60-64,2101,2467
['01/05/2017 07:00:01'],65-69,2111,2350
['01/05/2017 07:00:01'],70-74,1584,1680
['01/05/2017 07:00:01'],75-79,888,977
['01/05/2017 07:00:01'],80-84,620,800
['01/05/2017 07:00:01'],85-89,347,580
['01/05/2017 07:00:01'],90-94,115,305
['01/05/2017 07:00:01'],95-99,25,95
['01/05/2017 07:00:01'],100-104,2,12
['15/04/2017 07:00:01'],0-4,2247,2176
['15/04/2017 07:00:01'],5-9,2866,2680
